Open,High,Low,Close,Adj Close,Volume
1072.97998,1092.660034,1072.322021,1080.380005,1080.380005,1464200
1093.97998,1101.98999,1077.603027,1078.719971,1078.719971,1436700
1078,1080.930054,1067.540039,1077.030029,1077.030029,1061000
1083.640015,1094.170044,1080.150024,1088.77002,1088.77002,1057700
1086.420044,1092.689941,1080.171997,1085.349976,1085.349976,1111500
1086.280029,1099.180054,1086.280029,1092.5,1092.5,941600
1109.689941,1116.390015,1098.98999,1103.599976,1103.599976,1386700
1105.599976,1107,1093.47998,1102.329956,1102.329956,1338800
1119.98999,1120.119995,1104.73999,1111.420044,1111.420044,1262000
1109.23999,1124.109985,1108.079956,1121.880005,1121.880005,1947600
1119.609985,1122,1111.01001,1115.52002,1115.52002,1395600
1112.660034,1114.349976,1083.800049,1086.349976,1086.349976,1546900
1086.5,1092.969971,1072.23999,1079.800049,1079.800049,1810900
1084,1087.099976,1075.290039,1076.01001,1076.01001,1004300
1076.390015,1081,1073.369995,1080.910034,1080.910034,1693200
1098,1107.579956,1093.703003,1097.949951,1097.949951,1436300
1102.23999,1111.77002,1098.170044,1111.25,1111.25,991600
1117.410034,1126.76001,1113.859985,1121.579956,1121.579956,767000
1117.800049,1132.880005,1116.140015,1131.589966,1131.589966,1264300
1125.170044,1125.97998,1111.209961,1116.349976,1116.349976,1236400
1111.800049,1128.025024,1107.170044,1124.829956,1124.829956,1330400
1131.219971,1142.050049,1130.969971,1140.47998,1140.47998,1209500
1143.25,1153.069946,1139.579956,1144.209961,1144.209961,1195500
1143.98999,1147.339966,1138.780029,1144.900024,1144.900024,864000
1146.859985,1150.819946,1139.400024,1150.339966,1150.339966,903800
1146,1158.579956,1145,1153.579956,1153.579956,1238800
1150.969971,1158.359985,1145.77002,1146.349976,1146.349976,1170000
1141.73999,1147.60498,1132.72998,1146.329956,1146.329956,1291300
1148.189941,1151.140015,1129.619995,1130.099976,1130.099976,1647200
1133.449951,1139.25,1124.23999,1138.069946,1138.069946,1301500
1144,1146.900024,1131.800049,1146.209961,1146.209961,1093700
1131.900024,1144,1126.98999,1137.810059,1137.810059,1589800
1137.819946,1141.699951,1120.920044,1132.119995,1132.119995,2209800
1224.040039,1265.550049,1224,1250.410034,1250.410034,4805800
